fips,state_abbr,area_name,period,level_code,adults_count,adults_pct,period_num
01001,AL,Autauga County,1970,bachelors_or_higher,767,6.4,1970
01001,AL,Autauga County,1980,bachelors_or_higher,2117,12.1,1980
01001,AL,Autauga County,1990,bachelors_or_higher,3026,14.5,1990
01001,AL,Autauga County,2000,bachelors_or_higher,4972,18.0,2000
01001,AL,Autauga County,2015-19,bachelors_or_higher,9929,26.6,2017
01001,AL,Autauga County,1970,hs_only,3757,31.1,1970
01001,AL,Autauga County,1980,hs_only,6145,35.2,1980
01001,AL,Autauga County,1990,hs_only,6671,32.0,1990
01001,AL,Autauga County,2000,hs_only,9332,33.8,2000
01001,AL,Autauga County,2015-19,hs_only,12551,33.6,2017
01001,AL,Autauga County,1970,less_than_hs,6611,54.8,1970
01001,AL,Autauga County,1980,less_than_hs,7074,40.6,1980
01001,AL,Autauga County,1990,less_than_hs,6252,30.0,1990
01001,AL,Autauga County,2000,less_than_hs,5872,21.3,2000
01001,AL,Autauga County,2015-19,less_than_hs,4291,11.5,2017
01001,AL,Autauga County,1970,some_college,933,7.7,1970
01001,AL,Autauga County,1980,some_college,2104,12.1,1980
01001,AL,Autauga County,1990,some_college,4912,23.5,1990
01001,AL,Autauga County,2000,some_college,7413,26.9,2000
01001,AL,Autauga County,2015-19,some_college,10596,28.4,2017
01003,AL,Baldwin County,1970,bachelors_or_higher,2038,6.5,1970
01003,AL,Baldwin County,1980,bachelors_or_higher,5498,12.1,1980
01003,AL,Baldwin County,1990,bachelors_or_higher,10870,16.8,1990
01003,AL,Baldwin County,2000,bachelors_or_higher,22146,23.1,2000
01003,AL,Baldwin County,2015-19,bachelors_or_higher,48148,31.9,2017
01003,AL,Baldwin County,1970,hs_only,8426,26.7,1970
01003,AL,Baldwin County,1980,hs_only,15380,33.7,1980
01003,AL,Baldwin County,1990,hs_only,20544,31.8,1990
01003,AL,Baldwin County,2000,hs_only,28428,29.6,2000
01003,AL,Baldwin County,2015-19,hs_only,41797,27.7,2017
01003,AL,Baldwin County,1970,less_than_hs,18726,59.4,1970
01003,AL,Baldwin County,1980,less_than_hs,18125,39.7,1980
01003,AL,Baldwin County,1990,less_than_hs,17309,26.8,1990
01003,AL,Baldwin County,2000,less_than_hs,17258,18.0,2000
01003,AL,Baldwin County,2015-19,less_than_hs,13893,9.2,2017
01003,AL,Baldwin County,1970,some_college,2334,7.4,1970
01003,AL,Baldwin County,1980,some_college,6602,14.5,1980
01003,AL,Baldwin County,1990,some_college,15900,24.6,1990
01003,AL,Baldwin County,2000,some_college,28178,29.3,2000
01003,AL,Baldwin County,2015-19,some_college,47274,31.3,2017
01005,AL,Barbour County,1970,bachelors_or_higher,861,7.3,1970
01005,AL,Barbour County,1980,bachelors_or_higher,1300,9.2,1980
01005,AL,Barbour County,1990,bachelors_or_higher,1857,11.8,1990
01005,AL,Barbour County,2000,bachelors_or_higher,2068,10.9,2000
01005,AL,Barbour County,2015-19,bachelors_or_higher,2080,11.6,2017
01005,AL,Barbour County,1970,hs_only,2242,19.0,1970
01005,AL,Barbour County,1980,hs_only,3671,26.1,1980
01005,AL,Barbour County,1990,hs_only,4258,27.1,1990
01005,AL,Barbour County,2000,hs_only,6124,32.4,2000
01005,AL,Barbour County,2015-19,hs_only,6396,35.6,2017
01005,AL,Barbour County,1970,less_than_hs,8120,68.8,1970
01005,AL,Barbour County,1980,less_than_hs,7759,55.1,1980
01005,AL,Barbour County,1990,less_than_hs,6965,44.4,1990
01005,AL,Barbour County,2000,less_than_hs,6679,35.3,2000
01005,AL,Barbour County,2015-19,less_than_hs,4812,26.8,2017
01005,AL,Barbour County,1970,some_college,581,4.9,1970
01005,AL,Barbour County,1980,some_college,1362,9.7,1980
01005,AL,Barbour County,1990,some_college,2622,16.7,1990
01005,AL,Barbour County,2000,some_college,4025,21.3,2000
01005,AL,Barbour County,2015-19,some_college,4676,26.0,2017
01007,AL,Bibb County,1970,bachelors_or_higher,302,4.2,1970
01007,AL,Bibb County,1980,bachelors_or_higher,433,4.9,1980
01007,AL,Bibb County,1990,bachelors_or_higher,476,4.7,1990
01007,AL,Bibb County,2000,bachelors_or_higher,962,7.1,2000
01007,AL,Bibb County,2015-19,bachelors_or_higher,1678,10.4,2017
01007,AL,Bibb County,1970,hs_only,1402,19.4,1970
01007,AL,Bibb County,1980,hs_only,2611,29.6,1980
01007,AL,Bibb County,1990,hs_only,3407,33.8,1990
01007,AL,Bibb County,2000,hs_only,4838,35.7,2000
01007,AL,Bibb County,2015-19,hs_only,7256,44.9,2017
01007,AL,Bibb County,1970,less_than_hs,5272,73.1,1970
01007,AL,Bibb County,1980,less_than_hs,5254,59.5,1980
01007,AL,Bibb County,1990,less_than_hs,4850,48.2,1990
01007,AL,Bibb County,2000,less_than_hs,4984,36.8,2000
01007,AL,Bibb County,2015-19,less_than_hs,3386,20.9,2017
01007,AL,Bibb County,1970,some_college,238,3.3,1970
01007,AL,Bibb County,1980,some_college,536,6.1,1980
01007,AL,Bibb County,1990,some_college,1332,13.2,1990
01007,AL,Bibb County,2000,some_college,2756,20.4,2000
01007,AL,Bibb County,2015-19,some_college,3848,23.8,2017
01009,AL,Blount County,1970,bachelors_or_higher,404,2.7,1970
01009,AL,Blount County,1980,bachelors_or_higher,1144,5.3,1980
01009,AL,Blount County,1990,bachelors_or_higher,1773,7.0,1990
01009,AL,Blount County,2000,bachelors_or_higher,3235,9.6,2000
01009,AL,Blount County,2015-19,bachelors_or_higher,5210,13.1,2017
01009,AL,Blount County,1970,hs_only,3440,22.7,1970
01009,AL,Blount County,1980,hs_only,7011,32.4,1980
01009,AL,Blount County,1990,hs_only,8763,34.7,1990
01009,AL,Blount County,2000,hs_only,12136,36.0,2000
01009,AL,Blount County,2015-19,hs_only,13299,33.4,2017
01009,AL,Blount County,1970,less_than_hs,10677,70.5,1970
01009,AL,Blount County,1980,less_than_hs,11666,53.9,1980
01009,AL,Blount County,1990,less_than_hs,9960,39.5,1990
01009,AL,Blount County,2000,less_than_hs,9960,29.6,2000
01009,AL,Blount County,2015-19,less_than_hs,7763,19.5,2017
01009,AL,Blount County,1970,some_college,626,4.1,1970
01009,AL,Blount County,1980,some_college,1819,8.4,1980
01009,AL,Blount County,1990,some_college,4745,18.8,1990
01009,AL,Blount County,2000,some_college,8371,24.8,2000
01009,AL,Blount County,2015-19,some_college,13519,34.0,2017
01011,AL,Bullock County,1970,bachelors_or_higher,314,5.4,1970
01011,AL,Bullock County,1980,bachelors_or_higher,516,8.8,1980
01011,AL,Bullock County,1990,bachelors_or_higher,676,10.0,1990
01011,AL,Bullock County,2000,bachelors_or_higher,586,7.7,2000
01011,AL,Bullock County,2015-19,bachelors_or_higher,856,12.1,2017
01011,AL,Bullock County,1970,hs_only,958,16.5,1970
01011,AL,Bullock County,1980,hs_only,1324,22.5,1980
01011,AL,Bullock County,1990,hs_only,1669,24.8,1990
01011,AL,Bullock County,2000,hs_only,2667,35.2,2000
01011,AL,Bullock County,2015-19,hs_only,2860,40.3,2017
01011,AL,Bullock County,1970,less_than_hs,4245,72.9,1970
01011,AL,Bullock County,1980,less_than_hs,3473,59.0,1980
01011,AL,Bullock County,1990,less_than_hs,3428,51.0,1990
01011,AL,Bullock County,2000,less_than_hs,2992,39.5,2000
01011,AL,Bullock County,2015-19,less_than_hs,1798,25.3,2017
01011,AL,Bullock County,1970,some_college,305,5.2,1970
01011,AL,Bullock County,1980,some_college,574,9.8,1980
01011,AL,Bullock County,1990,some_college,954,14.2,1990
01011,AL,Bullock County,2000,some_college,1325,17.5,2000
01011,AL,Bullock County,2015-19,some_college,1587,22.3,2017
01013,AL,Butler County,1970,bachelors_or_higher,541,4.6,1970
01013,AL,Butler County,1980,bachelors_or_higher,1029,8.2,1980
01013,AL,Butler County,1990,bachelors_or_higher,1083,8.0,1990
01013,AL,Butler County,2000,bachelors_or_higher,1433,10.4,2000
01013,AL,Butler County,2015-19,bachelors_or_higher,2230,16.1,2017
01013,AL,Butler County,1970,hs_only,2459,20.7,1970
01013,AL,Butler County,1980,hs_only,3635,28.8,1980
01013,AL,Butler County,1990,hs_only,3927,29.1,1990
01013,AL,Butler County,2000,hs_only,4749,34.5,2000
01013,AL,Butler County,2015-19,hs_only,6244,45.2,2017
01013,AL,Butler County,1970,less_than_hs,8353,70.5,1970
01013,AL,Butler County,1980,less_than_hs,6929,55.0,1980
01013,AL,Butler County,1990,less_than_hs,6374,47.2,1990
01013,AL,Butler County,2000,less_than_hs,4439,32.2,2000
01013,AL,Butler County,2015-19,less_than_hs,2066,15.0,2017
01013,AL,Butler County,1970,some_college,499,4.2,1970
01013,AL,Butler County,1980,some_college,1016,8.1,1980
01013,AL,Butler County,1990,some_college,2106,15.6,1990
01013,AL,Butler County,2000,some_college,3146,22.9,2000
01013,AL,Butler County,2015-19,some_college,3279,23.7,2017
01015,AL,Calhoun County,1970,bachelors_or_higher,3921,7.5,1970
01015,AL,Calhoun County,1980,bachelors_or_higher,7213,11.0,1980
