county_name,state_name,fips,population,area_sqmi,density_per_sqmi,log_density
Autauga County,Alabama,01001,61464,594,103.47,4.6489
Baldwin County,Alabama,01003,261608,1589,164.64,5.1098
Barbour County,Alabama,01005,24358,884,27.55,3.3517
Bibb County,Alabama,01007,22258,622,35.78,3.605
Blount County,Alabama,01009,60163,644,93.42,4.5478
Bullock County,Alabama,01011,9901,622,15.92,2.8285
Butler County,Alabama,01013,18256,776,23.53,3.1999
Calhoun County,Alabama,01015,116427,605,192.44,5.265
Chambers County,Alabama,01017,33813,596,56.73,4.0558
Cherokee County,Alabama,01019,26138,553,47.27,3.8768
Chilton County,Alabama,01021,47262,692,68.3,4.2384
Choctaw County,Alabama,01023,12052,913,13.2,2.6532
Clarke County,Alabama,01025,22142,1238,17.89,2.9386
Clay County,Alabama,01027,14239,603,23.61,3.2032
Cleburne County,Alabama,01029,15905,560,28.4,3.381
Coffee County,Alabama,01031,56358,678,83.12,4.4322
Colbert County,Alabama,01033,58785,592,99.3,4.6082
Conecuh County,Alabama,01035,11109,850,13.07,2.644
Coosa County,Alabama,01037,10291,650,15.83,2.8232
Covington County,Alabama,01039,37748,1030,36.65,3.6283
Crenshaw County,Alabama,01041,13114,608,21.57,3.1166
Cullman County,Alabama,01043,92604,734,126.16,4.8454
Dale County,Alabama,01045,50067,561,89.25,4.5026
Dallas County,Alabama,01047,35545,978,36.34,3.6201
DeKalb County,Alabama,01049,73122,777,94.11,4.555
Elmore County,Alabama,01051,91042,618,147.32,4.9994
Escambia County,Alabama,01053,36630,945,38.76,3.6829
Etowah County,Alabama,01055,103207,534,193.27,5.2692
Fayette County,Alabama,01057,15863,627,25.3,3.2696
Franklin County,Alabama,01059,31874,633,50.35,3.9387
Geneva County,Alabama,01061,27259,574,47.49,3.8814
Greene County,Alabama,01063,7127,647,11.02,2.4866
Hale County,Alabama,01065,15116,643,23.51,3.1991
Henry County,Alabama,01067,18141,561,32.34,3.5068
Houston County,Alabama,01069,109366,579,188.89,5.2464
Jackson County,Alabama,01071,53780,1077,49.94,3.9306
Jefferson County,Alabama,01073,664744,1111,598.33,6.3958
Lamar County,Alabama,01075,13543,604,22.42,3.1536
Lauderdale County,Alabama,01077,97502,667,146.18,4.9917
Lawrence County,Alabama,01079,33567,690,48.65,3.905
Lee County,Alabama,01081,187847,607,309.47,5.7381
Limestone County,Alabama,01083,118942,559,212.78,5.3649
Lowndes County,Alabama,01085,9485,715,13.27,2.6582
Macon County,Alabama,01087,18159,608,29.87,3.4298
Madison County,Alabama,01089,423355,801,528.53,6.272
Marengo County,Alabama,01091,18512,976,18.97,2.9942
Marion County,Alabama,01093,29323,742,39.52,3.7018
Marshall County,Alabama,01095,102156,565,180.81,5.203
Mobile County,Alabama,01097,412339,1229,335.51,5.8186
Monroe County,Alabama,01099,19057,1025,18.59,2.975
Montgomery County,Alabama,01101,225894,784,288.13,5.6669
Morgan County,Alabama,01103,126084,579,217.76,5.388
Perry County,Alabama,01105,7719,719,10.74,2.463
Pickens County,Alabama,01107,18508,881,21.01,3.0915
Pike County,Alabama,01109,33124,672,49.29,3.9178
Randolph County,Alabama,01111,23067,580,39.77,3.7079
Russell County,Alabama,01113,58837,641,91.79,4.5303
St. Clair County,Alabama,01115,96927,631,153.61,5.0409
Shelby County,Alabama,01117,235969,784,300.98,5.7104
Sumter County,Alabama,01119,11607,903,12.85,2.6283
