fips,state_abbr,area_name,rucc_2003,uic_2003,rucc_2013,uic_2013,urban_category_2013,rucc_2013_label
01007,AL,Bibb County,1.0,1.0,1.0,1.0,City,Metro Large
01009,AL,Blount County,1.0,1.0,1.0,1.0,City,Metro Large
01021,AL,Chilton County,1.0,1.0,1.0,1.0,City,Metro Large
01073,AL,Jefferson County,1.0,1.0,1.0,1.0,City,Metro Large
01115,AL,St. Clair County,1.0,1.0,1.0,1.0,City,Metro Large
01117,AL,Shelby County,1.0,1.0,1.0,1.0,City,Metro Large
01127,AL,Walker County,1.0,1.0,1.0,1.0,City,Metro Large
04013,AZ,Maricopa County,1.0,1.0,1.0,1.0,City,Metro Large
04021,AZ,Pinal County,1.0,1.0,1.0,1.0,City,Metro Large
05035,AR,Crittenden County,1.0,1.0,1.0,1.0,City,Metro Large
06001,CA,Alameda County,1.0,1.0,1.0,1.0,City,Metro Large
06013,CA,Contra Costa County,1.0,1.0,1.0,1.0,City,Metro Large
06017,CA,El Dorado County,1.0,1.0,1.0,1.0,City,Metro Large
06037,CA,Los Angeles County,1.0,1.0,1.0,1.0,City,Metro Large
06041,CA,Marin County,1.0,1.0,1.0,1.0,City,Metro Large
06059,CA,Orange County,1.0,1.0,1.0,1.0,City,Metro Large
06061,CA,Placer County,1.0,1.0,1.0,1.0,City,Metro Large
06065,CA,Riverside County,1.0,1.0,1.0,1.0,City,Metro Large
06067,CA,Sacramento County,1.0,1.0,1.0,1.0,City,Metro Large
06069,CA,San Benito County,1.0,1.0,1.0,1.0,City,Metro Large
06071,CA,San Bernardino County,1.0,1.0,1.0,1.0,City,Metro Large
06073,CA,San Diego County,1.0,1.0,1.0,1.0,City,Metro Large
06075,CA,San Francisco County,1.0,1.0,1.0,1.0,City,Metro Large
06081,CA,San Mateo County,1.0,1.0,1.0,1.0,City,Metro Large
06085,CA,Santa Clara County,1.0,1.0,1.0,1.0,City,Metro Large
06113,CA,Yolo County,1.0,1.0,1.0,1.0,City,Metro Large
08001,CO,Adams County,1.0,1.0,1.0,1.0,City,Metro Large
08005,CO,Arapahoe County,1.0,1.0,1.0,1.0,City,Metro Large
08014,CO,Broomfield County,1.0,1.0,1.0,1.0,City,Metro Large
08019,CO,Clear Creek County,1.0,1.0,1.0,1.0,City,Metro Large
08031,CO,Denver County,1.0,1.0,1.0,1.0,City,Metro Large
08035,CO,Douglas County,1.0,1.0,1.0,1.0,City,Metro Large
08039,CO,Elbert County,1.0,1.0,1.0,1.0,City,Metro Large
08047,CO,Gilpin County,1.0,1.0,1.0,1.0,City,Metro Large
