OBJECTID,COUNTY_NAME,STATE_NAME,STATE_ABBR,FIPS,Votes_Tot,Votes_Trump,Votes_Harris,Votes_Stein,Pct_Trump,Pct_Harris,Pct_Stein,Winner_2024,Winner_2020,Winner_2016
1,Autauga County,Alabama,AL,01001,28230,20447,7429,48,0.7243,0.2632,0.0017,Trump,Trump,Trump
2,Baldwin County,Alabama,AL,01003,121413,95144,24763,169,0.7836,0.2040,0.0014,Trump,Trump,Trump
3,Barbour County,Alabama,AL,01005,9789,5578,4120,13,0.5698,0.4209,0.0013,Trump,Trump,Trump
4,Bibb County,Alabama,AL,01007,9246,7563,1617,4,0.8180,0.1749,0.0004,Trump,Trump,Trump
5,Blount County,Alabama,AL,01009,28072,25271,2569,39,0.9002,0.0915,0.0014,Trump,Trump,Trump
6,Bullock County,Alabama,AL,01011,4109,1099,2983,1,0.2675,0.7260,0.0002,Harris,Biden,Clinton
7,Butler County,Alabama,AL,01013,8472,5167,3248,5,0.6099,0.3834,0.0006,Trump,Trump,Trump
8,Calhoun County,Alabama,AL,01015,48558,34841,13170,84,0.7175,0.2712,0.0017,Trump,Trump,Trump
9,Chambers County,Alabama,AL,01017,14234,8704,5402,14,0.6115,0.3795,0.0010,Trump,Trump,Trump
10,Cherokee County,Alabama,AL,01019,12987,11342,1550,14,0.8733,0.1194,0.0011,Trump,Trump,Trump
11,Chilton County,Alabama,AL,01021,19743,16901,2697,16,0.8561,0.1366,0.0008,Trump,Trump,Trump
12,Choctaw County,Alabama,AL,01023,6643,4094,2511,2,0.6163,0.3780,0.0003,Trump,Trump,Trump
13,Clarke County,Alabama,AL,01025,11939,6956,4917,7,0.5826,0.4118,0.0006,Trump,Trump,Trump
14,Clay County,Alabama,AL,01027,6719,5693,986,4,0.8473,0.1467,0.0006,Trump,Trump,Trump
15,Cleburne County,Alabama,AL,01029,7647,6984,605,3,0.9133,0.0791,0.0004,Trump,Trump,Trump
16,Coffee County,Alabama,AL,01031,22263,17457,4585,28,0.7841,0.2059,0.0013,Trump,Trump,Trump
17,Colbert County,Alabama,AL,01033,27014,19614,7092,37,0.7261,0.2625,0.0014,Trump,Trump,Trump
18,Conecuh County,Alabama,AL,01035,6051,3423,2580,6,0.5657,0.4264,0.0010,Trump,Trump,Trump
19,Coosa County,Alabama,AL,01037,5257,3750,1475,1,0.7133,0.2806,0.0002,Trump,Trump,Trump
20,Covington County,Alabama,AL,01039,17077,14664,2309,13,0.8587,0.1352,0.0008,Trump,Trump,Trump
21,Crenshaw County,Alabama,AL,01041,6475,4993,1453,5,0.7711,0.2244,0.0008,Trump,Trump,Trump
22,Cullman County,Alabama,AL,01043,43104,38669,4033,24,0.8971,0.0936,0.0006,Trump,Trump,Trump
23,Dale County,Alabama,AL,01045,19130,14473,4478,30,0.7566,0.2341,0.0016,Trump,Trump,Trump
24,Dallas County,Alabama,AL,01047,15542,5188,10233,23,0.3338,0.6584,0.0015,Harris,Biden,Clinton
25,DeKalb County,Alabama,AL,01049,29657,25631,3757,32,0.8642,0.1267,0.0011,Trump,Trump,Trump
26,Elmore County,Alabama,AL,01051,41576,31336,9764,46,0.7537,0.2348,0.0011,Trump,Trump,Trump
27,Escambia County,Alabama,AL,01053,14929,10866,3956,9,0.7278,0.2650,0.0006,Trump,Trump,Trump
28,Etowah County,Alabama,AL,01055,45894,35470,9969,70,0.7729,0.2172,0.0015,Trump,Trump,Trump
29,Fayette County,Alabama,AL,01057,8364,7154,1141,13,0.8553,0.1364,0.0016,Trump,Trump,Trump
30,Franklin County,Alabama,AL,01059,12082,10404,1566,12,0.8611,0.1296,0.0010,Trump,Trump,Trump
31,Geneva County,Alabama,AL,01061,12394,10924,1389,7,0.8814,0.1121,0.0006,Trump,Trump,Trump
32,Greene County,Alabama,AL,01063,4037,885,3131,2,0.2192,0.7756,0.0005,Harris,Biden,Clinton
33,Hale County,Alabama,AL,01065,7292,3363,3861,10,0.4612,0.5295,0.0014,Harris,Biden,Clinton
34,Henry County,Alabama,AL,01067,9310,6983,2259,7,0.7501,0.2426,0.0008,Trump,Trump,Trump
35,Houston County,Alabama,AL,01069,44037,32255,11258,66,0.7325,0.2556,0.0015,Trump,Trump,Trump
36,Jackson County,Alabama,AL,01071,23554,20073,3274,18,0.8522,0.1390,0.0008,Trump,Trump,Trump
37,Jefferson County,Alabama,AL,01073,298280,130991,161828,992,0.4392,0.5425,0.0033,Harris,Biden,Clinton
38,Lamar County,Alabama,AL,01075,6884,6028,805,7,0.8757,0.1169,0.0010,Trump,Trump,Trump
39,Lauderdale County,Alabama,AL,01077,43515,32615,10299,65,0.7495,0.2367,0.0015,Trump,Trump,Trump
40,Lawrence County,Alabama,AL,01079,16050,12961,2975,12,0.8075,0.1854,0.0007,Trump,Trump,Trump
41,Lee County,Alabama,AL,01081,72862,45883,25672,157,0.6297,0.3523,0.0022,Trump,Trump,Trump
42,Limestone County,Alabama,AL,01083,52836,37524,14452,110,0.7102,0.2735,0.0021,Trump,Trump,Trump
43,Lowndes County,Alabama,AL,01085,5650,1755,3865,6,0.3106,0.6841,0.0011,Harris,Biden,Clinton
44,Macon County,Alabama,AL,01087,7818,1681,6069,14,0.2150,0.7763,0.0018,Harris,Biden,Clinton
45,Madison County,Alabama,AL,01089,197007,105149,87509,674,0.5337,0.4442,0.0034,Trump,Trump,Trump
46,Marengo County,Alabama,AL,01091,9667,4990,4621,6,0.5162,0.4780,0.0006,Trump,Biden,Clinton
47,Marion County,Alabama,AL,01093,13535,12238,1196,9,0.9042,0.0884,0.0007,Trump,Trump,Trump
48,Marshall County,Alabama,AL,01095,40285,34350,5535,37,0.8527,0.1374,0.0009,Trump,Trump,Trump
49,Mobile County,Alabama,AL,01097,173591,99981,71279,361,0.5760,0.4106,0.0021,Trump,Trump,Trump
50,Monroe County,Alabama,AL,01099,9801,5997,3736,9,0.6119,0.3812,0.0009,Trump,Trump,Trump
51,Montgomery County,Alabama,AL,01101,89510,30404,57734,213,0.3397,0.6450,0.0024,Harris,Biden,Clinton
52,Morgan County,Alabama,AL,01103,53355,40310,12343,67,0.7555,0.2313,0.0013,Trump,Trump,Trump
53,Perry County,Alabama,AL,01105,4460,1268,3170,1,0.2843,0.7108,0.0002,Harris,Biden,Clinton
54,Pickens County,Alabama,AL,01107,8899,5455,3385,7,0.6130,0.3804,0.0008,Trump,Trump,Trump
55,Pike County,Alabama,AL,01109,13206,8213,4882,18,0.6219,0.3697,0.0014,Trump,Trump,Trump
56,Randolph County,Alabama,AL,01111,11086,9098,1919,11,0.8207,0.1731,0.0010,Trump,Trump,Trump
57,Russell County,Alabama,AL,01113,20642,10047,10379,40,0.4867,0.5028,0.0019,Harris,Biden,Clinton
58,St. Clair County,Alabama,AL,01115,42726,34873,7483,46,0.8162,0.1751,0.0011,Trump,Trump,Trump
59,Shelby County,Alabama,AL,01117,114412,79522,32947,315,0.6950,0.2880,0.0028,Trump,Trump,Trump
60,Sumter County,Alabama,AL,01119,5304,1542,3722,3,0.2907,0.7017,0.0006,Harris,Biden,Clinton
61,Talladega County,Alabama,AL,01121,33200,22070,10878,32,0.6648,0.3277,0.0010,Trump,Trump,Trump
62,Tallapoosa County,Alabama,AL,01123,20019,14881,4974,17,0.7433,0.2485,0.0008,Trump,Trump,Trump
63,Tuscaloosa County,Alabama,AL,01125,85071,50617,33322,155,0.5950,0.3917,0.0018,Trump,Trump,Trump
64,Walker County,Alabama,AL,01127,29704,25393,4092,19,0.8549,0.1378,0.0006,Trump,Trump,Trump
65,Washington County,Alabama,AL,01129,8429,6526,1859,4,0.7742,0.2205,0.0005,Trump,Trump,Trump
66,Wilcox County,Alabama,AL,01131,5262,1793,3449,0,0.3407,0.6555,0.0000,Harris,Biden,Clinton
67,Winston County,Alabama,AL,01133,11146,10190,882,8,0.9142,0.0791,0.0007,Trump,Trump,Trump
98,Apache County,Arizona,AZ,04001,32019,12795,18872,160,0.3996,0.5894,0.0050,Harris,Biden,Clinton
99,Cochise County,Arizona,AZ,04003,58923,35936,22296,311,0.6099,0.3784,0.0053,Trump,Trump,Trump
100,Coconino County,Arizona,AZ,04005,70067,27576,41504,479,0.3936,0.5923,0.0068,Harris,Biden,Clinton
101,Gila County,Arizona,AZ,04007,27648,18901,8504,105,0.6836,0.3076,0.0038,Trump,Trump,Trump
102,Graham County,Arizona,AZ,04009,15183,11177,3867,52,0.7362,0.2547,0.0034,Trump,Trump,Trump
103,Greenlee County,Arizona,AZ,04011,3308,2308,954,19,0.6977,0.2884,0.0057,Trump,Trump,Trump
104,La Paz County,Arizona,AZ,04012,7624,5470,2101,25,0.7175,0.2756,0.0033,Trump,Trump,Trump
105,Maricopa County,Arizona,AZ,04013,2053945,1051531,980016,11661,0.5120,0.4771,0.0057,Trump,Biden,Trump
106,Mohave County,Arizona,AZ,04015,110450,85683,24081,285,0.7758,0.2180,0.0026,Trump,Trump,Trump
107,Navajo County,Arizona,AZ,04017,50706,29480,20754,197,0.5814,0.4093,0.0039,Trump,Trump,Trump
108,Pima County,Arizona,AZ,04019,513176,214669,292450,3209,0.4183,0.5699,0.0063,Harris,Biden,Clinton
109,Pinal County,Arizona,AZ,04021,209552,126926,80656,886,0.6057,0.3849,0.0042,Trump,Trump,Trump
110,Santa Cruz County,Arizona,AZ,04023,19121,7699,11265,76,0.4026,0.5891,0.0040,Harris,Biden,Clinton
